x y z stable_prob
1103.301124 548.782561 0.530000 0.000000
1119.560380 603.516800 0.530000 0.000000
1085.993972 575.725142 0.530000 0.000000
1071.620113 615.167156 0.530000 0.000000
1043.319323 599.858818 0.530000 0.000000
1028.247827 612.791334 0.530000 0.000000
1037.829120 639.273759 0.530000 0.000000
1031.136332 638.668284 0.530000 0.000000
991.014735 645.085245 0.530000 0.000000
987.161469 648.370415 0.530000 0.000000
982.774586 653.854505 0.530000 0.000000
978.921320 657.139675 0.530000 0.000000
966.301695 657.569858 0.530000 0.000000
969.165383 664.958992 0.530000 0.000000
959.401392 671.612146 0.530000 0.000000
951.483795 672.455754 0.530000 0.000000
997.079486 624.291525 0.530000 0.000000
965.464200 605.850439 0.530000 0.000000
998.993231 633.196444 0.530000 0.000000
971.176114 633.285706 0.530000 0.000000
984.167925 661.905505 0.530000 0.000000
979.745914 657.339782 0.530000 0.000000
946.115703 635.208158 0.530000 0.000000
979.807461 661.283919 0.530000 0.000000
970.539061 650.303174 0.530000 0.000000
969.618439 651.098447 0.530000 0.000000
974.697161 661.353523 0.530000 0.000000
949.070262 645.820912 0.530000 0.000000
970.331545 664.950936 0.530000 0.000000
954.442214 648.870849 0.530000 0.000000
972.012960 670.015801 0.530000 0.000000
954.087436 652.131851 0.530000 0.000000
968.293099 672.751239 0.530000 0.000000
964.733064 668.831271 0.530000 0.000000
965.910183 675.374542 0.530000 0.000000
950.034065 656.241615 0.530000 0.000000
964.031563 676.519437 0.530000 0.000000
949.775310 658.507239 0.530000 0.000000
954.738995 662.040205 0.530000 0.000000
962.918892 679.305467 0.530000 0.000000
961.982160 677.768414 0.530000 0.000000
959.572174 671.508065 0.530000 0.000000
954.005270 665.063721 0.530000 0.000000
960.111594 680.079472 0.530000 0.000000
951.755759 667.137293 0.530000 0.000000
951.689056 667.412158 0.530000 0.000000
956.351452 676.984100 0.530000 0.000000
950.530951 668.586376 0.530000 0.000000
949.847815 669.002702 0.530000 0.000000
948.332030 668.052758 0.530000 0.000000
949.610330 669.381649 0.530000 0.000000
944.209054 667.052225 0.530000 0.000000
944.945679 669.413873 0.530000 0.000000
946.848467 671.767465 0.530000 0.000000
950.574131 679.802354 0.530000 0.000000
944.249334 672.883037 0.530000 0.000000
1009.783876 627.551813 0.530000 0.000000
1008.801613 631.308825 0.530000 0.000000
1004.631712 630.154733 0.530000 0.000000
982.861723 611.697550 0.530000 0.000000
964.440830 605.678355 0.530000 0.000000
999.823208 631.931878 0.530000 0.000000
999.789831 634.339970 0.530000 0.000000
972.501019 613.779797 0.530000 0.000000
995.401881 638.132837 0.530000 0.000000
971.416156 618.947296 0.530000 0.000000
991.570451 640.122857 0.530000 0.000000
964.976623 619.755032 0.530000 0.000000
995.165789 649.175675 0.530000 0.000000
991.744767 645.523743 0.530000 0.000000
970.808216 629.254113 0.530000 0.000000
990.270016 656.051096 0.530000 0.000000
971.780112 633.436865 0.530000 0.000000
983.774111 653.735239 0.530000 0.000000
962.299070 633.172587 0.530000 0.000000
951.130629 628.815303 0.530000 0.000000
961.288619 635.367803 0.530000 0.000000
965.204608 638.063175 0.530000 0.000000
982.937968 661.331349 0.530000 0.000000
979.275887 657.094705 0.530000 0.000000
963.155516 640.891815 0.530000 0.000000
949.681586 635.090675 0.530000 0.000000
980.647816 663.575276 0.530000 0.000000
978.501306 663.844521 0.530000 0.000000
944.570459 637.129400 0.530000 0.000000
960.088299 644.071783 0.530000 0.000000
974.626357 660.584956 0.530000 0.000000
954.548953 642.250895 0.530000 0.000000
955.431101 645.718142 0.530000 0.000000
943.313767 642.709787 0.530000 0.000000
954.854055 647.803092 0.530000 0.000000
970.499981 664.680444 0.530000 0.000000
969.935785 664.639404 0.530000 0.000000
954.771972 648.931483 0.530000 0.000000
949.301855 648.108194 0.530000 0.000000
954.587292 651.470359 0.530000 0.000000
944.837005 649.059570 0.530000 0.000000
964.791288 669.086217 0.530000 0.000000
949.848013 654.245107 0.530000 0.000000
951.961151 656.383949 0.530000 0.000000
950.006990 655.958212 0.530000 0.000000
939.169354 652.901148 0.530000 0.000000
952.794590 658.571501 0.530000 0.000000
963.562781 676.228400 0.530000 0.000000
956.305364 662.938934 0.530000 0.000000
960.988048 672.638030 0.530000 0.000000
960.757144 679.710984 0.530000 0.000000
947.421889 660.307608 0.530000 0.000000
936.371383 658.227625 0.530000 0.000000
951.896890 667.013901 0.530000 0.000000
949.778567 668.844943 0.530000 0.000000
949.627259 668.975730 0.530000 0.000000
938.651166 663.923465 0.530000 0.000000
945.865060 671.963349 0.530000 0.000000
944.605882 671.729960 0.530000 0.000000
939.597358 672.358198 0.530000 0.000000
917.441646 695.970695 0.500000 0.000000
826.028299 741.529891 0.500000 0.000000
901.078444 749.958156 0.500000 0.000000
901.388798 749.007531 0.500000 0.000000
888.434429 738.550752 0.500000 0.000000
891.516002 739.809277 0.500000 0.000000
917.644656 751.285058 0.500000 0.000000
873.072911 713.169976 0.500000 0.000000
871.611535 710.041977 0.500000 0.000000
874.201916 711.645072 0.500000 0.000000
918.260460 744.501194 0.500000 0.000000
917.111891 742.863883 0.500000 0.000000
917.815691 742.125870 0.500000 0.000000
917.028798 741.700657 0.500000 0.000000
913.602652 739.950942 0.500000 0.000000
913.519559 738.787717 0.500000 0.000000
913.157881 737.575615 0.500000 0.000000
876.755581 692.996779 0.500000 0.000000
911.598758 735.004790 0.500000 0.000000
893.446508 720.620916 0.500000 0.000000
890.394245 715.921588 0.500000 0.000000
919.201274 735.046312 0.500000 0.000000
894.411787 719.210866 0.500000 0.000000
907.644747 729.716520 0.500000 0.000000
923.411861 734.779926 0.500000 0.000000
890.225609 711.153826 0.500000 0.000000
908.314328 727.536691 0.500000 0.000000
906.117389 726.146202 0.500000 0.000000
897.146340 717.536888 0.500000 0.000000
907.246397 724.621296 0.500000 0.000000
905.293829 721.837868 0.500000 0.000000
888.896149 692.542201 0.500000 0.000000
918.077117 725.085574 0.500000 0.000000
909.858742 715.459655 0.500000 0.000000
897.744983 693.663856 0.500000 0.000000
910.215516 711.789137 0.500000 0.000000
898.216618 690.157067 0.500000 0.000000
898.030874 684.668397 0.500000 0.000000
909.426174 708.922616 0.500000 0.000000
930.259202 717.028479 0.500000 0.000000
900.064081 686.173743 0.500000 0.000000
913.785836 710.261779 0.500000 0.000000
914.225704 707.754485 0.500000 0.000000
904.963810 686.889747 0.500000 0.000000
911.992096 702.480873 0.500000 0.000000
908.084507 694.472705 0.500000 0.000000
908.314221 694.800167 0.500000 0.000000
914.646011 702.084976 0.500000 0.000000
